Дата,Курс,Отклонение от медианы,Отклонение от среднего
2022-04-05,83.5932,52.200599999999994,40.327874198298424
2022-04-02,83.4285,52.0359,40.16317419829843
2022-04-01,83.4097,52.0171,40.14437419829843
2022-03-31,84.0851,52.692499999999995,40.819774198298425
2022-03-30,86.2843,54.8917,43.01897419829843
2022-03-29,93.7125,62.319900000000004,50.447174198298434
2022-03-26,95.6618,64.2692,52.39647419829843
2022-03-25,96.0458,64.6532,52.78047419829843
2022-03-24,103.1618,71.7692,59.89647419829843
2022-03-23,104.0741,72.6815,60.80877419829843
2022-03-22,104.6819,73.2893,61.41657419829843
2022-03-19,103.9524,72.5598,60.687074198298426
2022-03-18,104.8012,73.40859999999999,61.53587419829842
2022-03-17,108.0521,76.6595,64.78677419829842
2022-03-16,111.4823,80.0897,68.21697419829843
2022-03-15,115.1963,83.80369999999999,71.93097419829843
2022-03-12,116.7517,85.3591,73.48637419829842
2022-03-11,120.3785,88.9859,77.11317419829842
2022-03-10,116.0847,84.6921,72.81937419829842
2022-03-06,105.8124,74.4198,62.547074198298425
2022-03-05,105.8124,74.4198,62.547074198298425
2022-03-04,111.7564,80.3638,68.49107419829843
2022-03-03,103.2487,71.8561,59.98337419829843
2022-03-02,91.7457,60.3531,48.48037419829843
2022-03-01,93.5589,62.16629999999999,50.29357419829842
2022-02-26,83.5485,52.1559,40.28317419829843
2022-02-25,86.9288,55.536199999999994,43.663474198298424
2022-02-23,80.4194,49.026799999999994,37.154074198298424
2022-02-22,76.7671,45.3745,33.50177419829843
2022-02-19,75.7619,44.369299999999996,32.496574198298426
2022-02-18,75.7527,44.3601,32.48737419829843
2022-02-17,75.0141,43.6215,31.748774198298428
2022-02-16,76.166,44.773399999999995,32.900674198298425
2022-02-15,76.5762,45.1836,33.31087419829843
2022-02-12,74.9867,43.5941,31.721374198298427
2022-02-11,74.7241,43.331500000000005,31.458774198298435
2022-02-10,74.8015,43.4089,31.536174198298433
2022-02-09,75.3042,43.91159999999999,32.03887419829842
2022-02-08,75.6806,44.288,32.41527419829843
2022-02-05,76.0509,44.6583,32.78557419829843
2022-02-04,76.6501,45.25749999999999,33.38477419829842
2022-02-03,76.4849,45.092299999999994,33.219574198298425
2022-02-02,77.1302,45.7376,33.86487419829843
2022-02-01,77.4702,46.077600000000004,34.204874198298434
2022-01-29,77.8174,46.424800000000005,34.552074198298435
2022-01-28,78.947,47.5544,35.68167419829843
2022-01-27,78.9437,47.551100000000005,35.678374198298435
2022-01-26,78.6422,47.2496,35.37687419829843
2022-01-25,77.3649,45.972300000000004,34.099574198298434
2022-01-22,76.6903,45.29769999999999,33.42497419829842
2022-01-21,76.4408,45.048199999999994,33.175474198298424
2022-01-20,76.8697,45.47709999999999,33.60437419829842
2022-01-19,76.3347,44.942099999999996,33.069374198298426
2022-01-18,76.0404,44.647800000000004,32.775074198298434
2022-01-15,75.7668,44.3742,32.50147419829843
2022-01-14,74.5686,43.176,31.303274198298432
2022-01-13,74.5277,43.135099999999994,31.262374198298424
2022-01-12,74.8355,43.442899999999995,31.570174198298425
2022-01-11,75.1315,43.7389,31.86617419829843
2021-12-31,74.2926,42.89999999999999,31.02727419829842
2021-12-30,73.6514,42.258799999999994,30.386074198298424
2021-12-29,73.4959,42.103300000000004,30.230574198298434
2021-12-28,73.2329,41.8403,29.96757419829843
